date,time,date_time,roadway,intersection,report_number,address,latitude,longitude
1/4/18,855,1/4/18 8:55,HILLCREST RD,,2018000119,"HILLCREST RD, Greenburgh, NY",41.021352,-73.802
1/4/18,2038,1/4/18 20:38,25 JEAN LN,,2018000146,"25 JEAN LN, Greenburgh, NY",41.0283485973722,-73.8252722672289
1/7/18,1432,1/7/18 14:32,280 SECOR RD,,2018000227,"280 SECOR RD, Greenburgh, NY",41.026762,-73.827426
1/10/18,804,1/10/18 8:04,UNDERHILL RD,,2018000321,"UNDERHILL RD, Greenburgh, NY",41.0017647,-73.8144209
1/10/18,1012,1/10/18 10:12,UNDERHILL RD,,2018000327,"UNDERHILL RD, Greenburgh, NY",41.0017647,-73.8144209
1/11/18,253,1/11/18 2:53,180 PINEWOOD RD,,2018000359,"180 PINEWOOD RD, Greenburgh, NY",41.0292329784565,-73.7961705569091
1/12/18,1900,1/12/18 19:00,W HARTSDALE AV,,2018000436,"W HARTSDALE AV, Greenburgh, NY",41.026784,-73.807664
1/14/18,1414,1/14/18 14:14,385 N CENTRAL AV,,2018000491,"385 N CENTRAL AV, Greenburgh, NY",41.0278497346939,-73.7906218673469
1/14/18,1546,1/14/18 15:46,SEARS AV,,2018000494,"SEARS AV, Greenburgh, NY",41.060737,-73.811623
1/15/18,847,1/15/18 8:47,55 FIELDSTONE DR,,2018000510,"55 FIELDSTONE DR, Greenburgh, NY",41.030844891575,-73.7912479179841
1/15/18,2110,1/15/18 21:10,JACKSON AV,,2018000530,"JACKSON AV, Greenburgh, NY",40.986792,-73.836019
1/17/18,2125,1/17/18 21:25,SPRAIN RD,,2018000598,"SPRAIN RD, Greenburgh, NY",40.995854,-73.841711
1/18/18,1115,1/18/18 11:15,JACKSON AV,,2018000620,"JACKSON AV, Greenburgh, NY",40.986792,-73.836019
1/18/18,1704,1/18/18 17:04,TARRYTOWN RD,188 TARRYTOWN RD,2018000635,"TARRYTOWN RD AND 188 TARRYTOWN RD, Greenburgh, NY",41.0397203,-73.7853708
1/25/18,2335,1/25/18 23:35,38 TAYLOR RD,,2018000845,"38 TAYLOR RD, Greenburgh, NY",41.0737225054057,-73.8038798454663
1/27/18,359,1/27/18 3:59,50 JACKSON AV,,2018000918,"50 JACKSON AV, Greenburgh, NY",40.989149,-73.842621
1/30/18,416,1/30/18 4:16,290 SPRAIN RD,,2018001033,"290 SPRAIN RD, Greenburgh, NY",40.995854,-73.841711
1/31/18,1545,1/31/18 15:45,E HARTSDALE AV,,2018001085,"E HARTSDALE AV, Greenburgh, NY",41.0114855,-73.7961129
2/6/18,1140,2/6/18 11:40,SPRAIN RD,,2018001254,"SPRAIN RD, Greenburgh, NY",40.995854,-73.841711
2/6/18,1525,2/6/18 15:25,SPRAIN RD,,2018001264,"SPRAIN RD, Greenburgh, NY",40.995854,-73.841711
2/10/18,1518,2/10/18 15:18,SALEM RD,,2018001403,"SALEM RD, Greenburgh, NY",41.0693,-73.798295
2/13/18,900,2/13/18 9:00,25 OLD JACKSON AV,,2018001498,"25 OLD JACKSON AV, Greenburgh, NY",40.9889004713185,-73.8476281935918
2/17/18,1858,2/17/18 18:58,FORT HILL RD,,2018001639,"FORT HILL RD, Greenburgh, NY",41.000174,-73.81778
2/17/18,1922,2/17/18 19:22,GRASSLANDS RD,,2018001642,"GRASSLANDS RD, Greenburgh, NY",41.070303,-73.78745
2/19/18,1814,2/19/18 18:14,S CENTRAL AV,,2018001685,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
2/19/18,2113,2/19/18 21:13,S CENTRAL AV,,2018001691,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
2/24/18,1002,2/24/18 10:02,S CENTRAL AV,,2018001852,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
2/24/18,2058,2/24/18 20:58,TARRYTOWN RD,287,2018001874,"TARRYTOWN RD AND 287, Greenburgh, NY",41.0482277862601,-73.8081316342986
2/28/18,1820,2/28/18 18:20,50 E HARTSDALE AV,,2018002005,"50 E HARTSDALE AV, Greenburgh, NY",41.0169691768166,-73.7972408386297
3/1/18,645,3/1/18 6:45,591 HILLSIDE AV,,2018002022,"591 HILLSIDE AV, Greenburgh, NY",41.054641877193,-73.7885950701754
3/2/18,1503,3/2/18 15:03,DALEWOOD DR,,2018002085,"DALEWOOD DR, Greenburgh, NY",41.0279,-73.796925
3/2/18,1630,3/2/18 16:30,DOBBS FERRY RD,,2018002093,"DOBBS FERRY RD, Greenburgh, NY",41.0380371,-73.8182026
3/2/18,1913,3/2/18 19:13,AQUEDUCT RD,,2018002106,"AQUEDUCT RD, Greenburgh, NY",41.0112434,-73.7959369
3/3/18,1434,3/3/18 14:34,FLORENCE AV,,2018002128,"FLORENCE AV, Greenburgh, NY",41.044037,-73.793855
3/5/18,840,3/5/18 8:40,SPRAIN RD,,2018002174,"SPRAIN RD, Greenburgh, NY",40.995854,-73.841711
3/6/18,730,3/6/18 7:30,ARDSLEY RD,,2018002212,"ARDSLEY RD, Greenburgh, NY",40.9904958,-73.8120405
3/7/18,1317,3/7/18 13:17,HIGHRIDGE RD,,2018002271,"HIGHRIDGE RD, Greenburgh, NY",41.008292,-73.85967
3/8/18,1425,3/8/18 14:25,2 BROOKDELL DR,,2018002308,"2 BROOKDELL DR, Greenburgh, NY",41.026959,-73.793982
3/8/18,2015,3/8/18 20:15,TARRYTOWN RD,,2018002314,"TARRYTOWN RD, Greenburgh, NY",41.038218,-73.782072
3/17/18,2130,3/17/18 21:30,189 SEARS AV,,2018002633,"189 SEARS AV, Greenburgh, NY",41.060737,-73.811623
3/20/18,941,3/20/18 9:41,50 TAXTER RD,,2018002729,"50 TAXTER RD, Greenburgh, NY",41.0588744,-73.8281435
3/21/18,1338,3/21/18 13:38,RIDGE RD,,2018002770,"RIDGE RD, Greenburgh, NY",41.007754,-73.848869
3/21/18,1300,3/21/18 13:00,S SPRAIN RD,,2018002772,"S SPRAIN RD, Greenburgh, NY",40.995854,-73.841711
3/21/18,2051,3/21/18 20:51,BENEDICT AV,,2018002783,"BENEDICT AV, Greenburgh, NY",41.0632158,-73.8372502
3/23/18,1625,3/23/18 16:25,FULTON ST,,2018002862,"FULTON ST, Greenburgh, NY",41.033109,-73.787481
3/25/18,1120,3/25/18 11:20,S CENTRAL AV,,2018002903,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
3/26/18,2318,3/26/18 23:18,DOBBS FERRY RD,,2018002917,"DOBBS FERRY RD, Greenburgh, NY",41.0380371,-73.8182026
3/29/18,1530,3/29/18 15:30,W HARTSDALE AV,,2018003040,"W HARTSDALE AV, Greenburgh, NY",41.026784,-73.807664
4/2/18,910,4/2/18 9:10,S CENTRAL AV,,2018003148,"S CENTRAL AV, Greenburgh, NY",41.015,-73.803182
4/4/18,1957,4/4/18 19:57,HILLSIDE AV,,2018003235,"HILLSIDE AV, Greenburgh, NY",41.0452952,-73.790382
4/6/18,1445,4/6/18 14:45,HILLSIDE AV,,2018003276,"HILLSIDE AV, Greenburgh, NY",41.0452952,-73.790382
