Case Number,Report Date,Offense Type,Street,Status,Status Date,Officer,Latitude (Randomized),Longitude (Randomized)
2018000093,1/3/18 16:14,Grand Larceny,WHITE PLAINS RD,INVESTIGATION,1/3/18,"BURNETT, G. A.",41.064125361367466,-73.84270101879046
2018000445,1/13/18 0:08,Petit Larceny,OLD SAW MILL RIVER,INVESTIGATION,1/13/18,"MARZELLA, A.",41.07695621894467,-73.81897020959026
2018000545,1/16/18 14:39,Petit Larceny,WHITE PLAINS RD,INVESTIGATION,1/16/18,"NECZESNY, M. M.",41.06113073301548,-73.83591840744539
2018000926,1/27/18 12:22,Petit Larceny,HOLLAND PL,INVESTIGATION,1/27/18,"GARDNER, K. T.",41.01625542528175,-73.79561202115988
2018000936,1/27/18 14:36,Petit Larceny,HOLLAND PL,INVESTIGATION,1/27/18,"GARDNER, K. T.",41.018557821777144,-73.7950043198123
2018001518,2/14/18 13:01,Petit Larceny,TOWN GREEN DR,INVESTIGATION,2/15/18,"KNOESEL, K.",41.05418804487064,-73.8334015513061
2018001790,2/22/18 16:54,Grand Larceny,JACKSON AV,INVESTIGATION,2/22/18,"HERIGHTY, J.",40.984686618473255,-73.85625378698843
2018001972,2/28/18 7:30,Petit Larceny,N HIGH ST,INVESTIGATION,2/28/18,"PILLA, J.",41.062128383466494,-73.80382993893929
2018002231,3/6/18 15:41,Petit Larceny,SAW MILL RIVER RD,INVESTIGATION,3/6/18,"KENNEDY, J. J.",40.984318757334925,-73.8652052216875
2018002473,3/13/18 21:39,Petit Larceny,PROSPECT AV,INVESTIGATION,3/13/18,"FREEMAN, S. J.",41.04019293288076,-73.78773454987584
2018002475,3/13/18 21:49,Petit Larceny,TARRYTOWN RD,INVESTIGATION,3/13/18,"FREEMAN, S. J.",41.039775829107754,-73.78812529326838
2018002685,3/19/18 8:35,Petit Larceny,INVERNESS RD,INVESTIGATION,3/19/18,"RANDOLPH, S. S.",40.987420731058556,-73.8232487544679
2018002691,3/19/18 11:28,Petit Larceny,STONELEIGH CLOSE,INVESTIGATION,3/19/18,"MAGUIRE, R.",41.0010516048594,-73.81795284215305
2018002701,3/19/18 15:16,Petit Larceny,BEVERLY RD,INVESTIGATION,3/19/18,"RYAN, M. G.",41.00305454055287,-73.81828137862146
2018002705,3/19/18 18:09,Petit Larceny,WESTMINSTER RD,INVESTIGATION,3/19/18,"RYAN, M. G.",40.99731433121541,-73.82049201857846
2018003995,4/26/18 20:53,Petit Larceny,E HARTSDALE AV,INVESTIGATION,4/26/18,"PREISER, A. B.",41.01938918983315,-73.79846279893631
2018004235,5/3/18 20:58,Petit Larceny,N CENTRAL AV,INVESTIGATION,5/3/18,"FONTANILLES, B. E.",41.02888943719865,-73.78991806310043
2018005065,5/25/18 19:56,Petit Larceny,WORTHINGTON RD,INVESTIGATION,5/25/18,"KEITH, B.",41.03658931974744,-73.8286333333426
2018005395,6/4/18 13:13,Petit Larceny,WHITE PLAINS RD,INVESTIGATION,6/4/18,"DAVIS, R. L.",41.06113073301548,-73.8347184074454
2018006478,7/4/18 15:59,Petit Larceny,DOBBS FERRY RD,INVESTIGATION,7/4/18,"DOHERTY, C. A.",41.03539516097722,-73.82247480626204
2018006641,7/9/18 14:44,Petit Larceny,MOHAWK TRL,INVESTIGATION,7/9/18,"KILLIEBREW, H.",41.07394789635075,-73.8171869925576
2018006756,7/12/18 11:55,Grand Larceny,S CENTRAL AV,INVESTIGATION,7/12/18,"HERIGHTY, J.",40.988199612871384,-73.82380457495059
2018007513,8/5/18 14:13,Grand Larceny,OLYMPIC LN,INVESTIGATION,8/5/18,"GARDNER, K. T.",41.018594672981656,-73.82545455565902
2018007514,8/5/18 15:02,Petit Larceny,OLYMPIC LN,INVESTIGATION,8/11/18,"GARDNER, K. T.",41.018594672981656,-73.82705455565902
2018007610,8/8/18 16:26,Petit Larceny,TARRYTOWN RD,CLEARED BY,8/8/18,"HART, G.",41.043572500047766,-73.79742060350678
2018007823,8/15/18 10:43,Petit Larceny,CABOT AVE,CLOSED,8/15/18,"KEITH, B.",38.820961642792234,-76.22773569332462
2018008430,9/2/18 8:59,Petit Larceny,WHITE PLAINS RD,INVESTIGATION,9/2/18,"KENNEDY, J. J.",41.06255840902753,-73.84409855484557
2018008619,9/8/18 16:55,Petit Larceny,S CENTRAL AV,INVESTIGATION,9/8/18,"RYAN, M. G.",40.98939961287138,-73.82380457495059
2018008757,9/14/18 9:49,Petit Larceny,S CENTRAL AV,CLOSED,9/14/18,"DAVIS, R. L.",41.00871121330171,-73.8103338945368
2018009274,9/29/18 18:13,Grand Larceny,S CENTRAL AV,CLOSED,11/8/18,"HERIGHTY, J.",40.99797419814064,-73.81758217256949
2018009362,10/2/18 18:00,Petit Larceny,KNOLLWOOD RD,CLOSED,10/2/18,"HERIGHTY, J.",41.07263451184929,-73.79932983824618
2018009501,10/6/18 9:34,Grand Larceny,JOYCE RD,INVESTIGATION,10/6/18,"NECZESNY, M. M.",41.02451684171138,-73.83531848522966
2018009503,10/6/18 10:07,Petit Larceny,EASTWAY,INVESTIGATION,10/6/18,"NECZESNY, M. M.",41.02671399282524,-73.83386258545562
2018009504,10/6/18 10:22,Petit Larceny,JOYCE RD,INVESTIGATION,10/6/18,"KNOESEL, K.",41.02245038102602,-73.84056852236863
2018009502,10/6/18 9:17,Petit Larceny,JOYCE RD,INVESTIGATION,10/6/18,"KNOESEL, K.",41.02290538534297,-73.83935369306772
2018009528,10/6/18 22:43,Petit Larceny,MANHATTAN AV,INVESTIGATION,10/6/18,"SUNAGAWA, D. S.",41.04778326436114,-73.79730842027236
2018009540,10/7/18 10:05,Petit Larceny,JOYCE RD,INVESTIGATION,10/7/18,"KNOESEL, K.",41.0227584948498,-73.84066639131403
2018009562,10/8/18 9:00,Grand Larceny,MOHAWK,CLEARED BY,10/10/18,"DOHERTY, C. A.",41.0499608455571,-73.77937615114126
2018010150,10/24/18 17:31,Grand Larceny,S CENTRAL AV,INVESTIGATION,10/24/18,"RYAN, M. G.",40.98859961287138,-73.82260457495059
2018010152,10/24/18 18:04,Petit Larceny,S CENTRAL AV,INVESTIGATION,10/24/18,"RYAN, M. G.",40.98979961287138,-73.82420457495058
2018010155,10/24/18 18:41,Grand Larceny,S CENTRAL AV,INVESTIGATION,10/24/18,"RYAN, M. G.",40.98979961287138,-73.82300457495059
2018010523,11/4/18 13:21,Petit Larceny,MENDHAM AV,CLOSED,4/1/19,"HERIGHTY, J.",40.98574626236,-73.86195916751379
2018010532,11/4/18 17:58,Petit Larceny,MENDHAM AV,INVESTIGATION,11/4/18,"MAGUIRE, R.",40.984279096661815,-73.86347257884108
2018010533,11/4/18 19:20,Petit Larceny,RIVERVIEW AV,INVESTIGATION,11/4/18,"MAGUIRE, R.",41.00555087715187,-73.84196425350567
2018011308,11/26/18 18:37,Petit Larceny,TARRYTOWN RD,INVESTIGATION,11/26/18,"KNOESEL, K.",41.04037434742122,-73.78945319892983
2018011595,12/6/18 8:40,Petit Larceny,OLD TARRYTOWN RD,INVESTIGATION,12/6/18,"VINGO, M. A.",41.0474551061383,-73.79253634418825
2018011614,12/6/18 17:25,Petit Larceny,TARRYTOWN RD,CLOSED,12/6/18,"GARDNER, K. T.",41.04299995652662,-73.79572826343832
2018011748,12/10/18 19:20,Grand Larceny,MCLEAN AV,INVESTIGATION,12/10/18,"VINGO, M. A.",41.043601326439116,-73.79412252266695
2018012361,12/30/18 0:00,Petit Larceny,GREENBURGH,CLOSED,12/30/18,"KENNEDY, J. J.",41.049689331663245,-73.79436478015026
2019000922,1/31/19 9:28,Petit Larceny,WHITEWOOD RD,INVESTIGATION,1/31/19,"NIGRO, N.",41.06212861501909,-73.79765121672281
2019000923,1/31/19 11:19,Petit Larceny,WHITEWOOD RD,INVESTIGATION,1/31/19,"NIGRO, N.",41.06206599271316,-73.79868234339449
2019000933,1/31/19 15:15,Petit Larceny,WHITEWOOD RD,INVESTIGATION,1/31/19,"LOBO, R. R.",41.062871170196516,-73.79799786488827
2019000935,1/31/19 15:47,Petit Larceny,WHITEWOOD RD,INVESTIGATION,1/31/19,"LOBO, R. R.",41.06210815515614,-73.79758970802034
2019000946,1/31/19 20:19,Petit Larceny,WHITEWOOD RD,INVESTIGATION,1/31/19,"PREISER, A. B.",41.062118288372034,-73.79902031830312
2019001401,2/14/19 20:34,Petit Larceny,S CENTRAL AV,CLOSED,2/14/19,"MAGUIRE, R.",40.98871724265213,-73.82324343966103
2019001553,2/20/19 0:00,Petit Larceny,COUNTY CENTER RD,CLEARED BY,,"KNOESEL, K.",41.040314422206706,-73.78192024351031
2019001616,2/22/19 0:00,Petit Larceny,COUNTY CENTER RD,CLOSED,2/28/19,"TARONE, R.",41.03911442220671,-73.78192024351031
2019002527,3/25/19 13:11,Grand Larceny,KNOLLWOOD RD,CLOSED,3/25/19,"HART, G.",41.04372478169594,-73.80474344072243
2019002527,3/25/19 13:11,Grand Larceny,KNOLLWOOD RD,CLOSED,3/25/19,"HART, G.",41.04532478169594,-73.80594344072243
2019002747,4/2/19 9:43,Grand Larceny,WASHINGTON AV,INVESTIGATION,4/2/19,"DAVIS, R. L.",41.04781565298906,-73.79855642593415
2019003214,4/16/19 17:50,Grand Larceny,GOODWIN AV,INVESTIGATION,4/16/19,"KEITH, B.",41.046147812589055,-73.81796538035053
2019003675,5/1/19 19:31,Petit Larceny,EDGEMONT RD,INVESTIGATION,5/2/19,"RANDOLPH, S. S.",40.997002156788376,-73.80743459428822
2019003681,5/2/19 8:06,Grand Larceny,OAKRIDGE RD,INVESTIGATION,5/2/19,"BRIDGES, B. A.",41.037584552190914,-73.81069560042368
2019004545,5/27/19 16:14,Grand Larceny,SPRAIN RD,INVESTIGATION,5/27/19,"HERIGHTY, J.",40.999779504873125,-73.83942527923405
2019004551,5/27/19 17:48,Grand Larceny,OLYMPIC LN,INVESTIGATION,5/27/19,"KNOESEL, K.",41.01739467298166,-73.82545455565902
