date,time,date_time,roadway,intersection,report_number
1/4/18,855,1/4/18 8:55,HILLCREST RD,,2018000119
1/4/18,2038,1/4/18 20:38,25 JEAN LN,,2018000146
1/5/18,1711,1/5/18 17:11,PAYNE ST,N HIGH ST,2018000168
1/7/18,1432,1/7/18 14:32,280 SECOR RD,,2018000227
1/10/18,804,1/10/18 8:04,UNDERHILL RD,,2018000321
1/10/18,1012,1/10/18 10:12,UNDERHILL RD,,2018000327
1/11/18,253,1/11/18 2:53,180 PINEWOOD RD,,2018000359
1/12/18,1900,1/12/18 19:00,W HARTSDALE AV,,2018000436
1/14/18,1414,1/14/18 14:14,385 N CENTRAL AV,,2018000491
1/14/18,1546,1/14/18 15:46,SEARS AV,,2018000494
1/15/18,847,1/15/18 8:47,55 FIELDSTONE DR,,2018000510
1/15/18,2110,1/15/18 21:10,JACKSON AV,,2018000530
1/17/18,835,1/17/18 8:35,SAW MILL RIVER RD,410 SAW MILL RIVER,2018000570
1/17/18,2125,1/17/18 21:25,SPRAIN RD,,2018000598
1/18/18,1115,1/18/18 11:15,JACKSON AV,,2018000620
1/18/18,1704,1/18/18 17:04,TARRYTOWN RD,188 TARRYTOWN RD,2018000635
1/24/18,815,1/24/18 8:15,TARRYTOWN RD,ROSEMONT BLVD,2018000819
1/24/18,1725,1/24/18 17:25,GRASSLANDS RD,CLEARBROOK RD,2018000838
1/25/18,2335,1/25/18 23:35,38 TAYLOR RD,,2018000845
1/27/18,359,1/27/18 3:59,50 JACKSON AV,,2018000918
1/30/18,416,1/30/18 4:16,290 SPRAIN RD,,2018001033
1/30/18,1940,1/30/18 19:40,S CENTRAL AV,MT JOY AV,2018001062
1/31/18,1545,1/31/18 15:45,E HARTSDALE AV,,2018001085
2/2/18,2209,2/2/18 22:09,JACKSON AV,SPRAIN RD,2018001158
2/5/18,1200,2/5/18 12:00,OLD JACKSON AV,SPRAIN VALLEY RD,2018001228
2/5/18,1555,2/5/18 15:55,W HARTSDALE AV,SECOR RD,2018001235
2/6/18,1140,2/6/18 11:40,SPRAIN RD,,2018001254
2/6/18,1525,2/6/18 15:25,SPRAIN RD,,2018001264
2/10/18,1518,2/10/18 15:18,SALEM RD,,2018001403
2/13/18,900,2/13/18 9:00,25 OLD JACKSON AV,,2018001498
2/17/18,1805,2/17/18 18:05,TARRYTOWN RD,MANHATTAN AV,2018001636
2/17/18,1858,2/17/18 18:58,FORT HILL RD,,2018001639
2/17/18,1915,2/17/18 19:15,ARDSLEY RD,EDGEMONT RD,2018001641
2/17/18,1922,2/17/18 19:22,GRASSLANDS RD,,2018001642
2/18/18,825,2/18/18 8:25,JACKSON AV,EDITHS WAY,2018001652
2/19/18,1814,2/19/18 18:14,S CENTRAL AV,,2018001685
2/19/18,2113,2/19/18 21:13,S CENTRAL AV,,2018001691
2/24/18,1002,2/24/18 10:02,S CENTRAL AV,,2018001852
2/24/18,2058,2/24/18 20:58,TARRYTOWN RD,287,2018001874
2/28/18,958,2/28/18 9:58,TARRYTOWN RD,FAIR ST,2018001977
2/28/18,1820,2/28/18 18:20,50 E HARTSDALE AV,,2018002005
3/1/18,645,3/1/18 6:45,591 HILLSIDE AV,,2018002022
3/2/18,932,3/2/18 9:32,TAXTER RD,PINE LN,2018002067
3/2/18,950,3/2/18 9:50,SECOR RD,DUNHAM RD,2018002068
3/2/18,1503,3/2/18 15:03,DALEWOOD DR,,2018002085
3/2/18,1630,3/2/18 16:30,DOBBS FERRY RD,,2018002093
3/2/18,1913,3/2/18 19:13,AQUEDUCT RD,,2018002106
3/3/18,1421,3/3/18 14:21,7 HOLLAND PL,CATERSON TER,2018002127
3/3/18,1434,3/3/18 14:34,FLORENCE AV,,2018002128
3/5/18,840,3/5/18 8:40,SPRAIN RD,,2018002174
3/6/18,730,3/6/18 7:30,ARDSLEY RD,,2018002212
3/7/18,1317,3/7/18 13:17,HIGHRIDGE RD,,2018002271
3/8/18,1425,3/8/18 14:25,2 BROOKDELL DR,,2018002308
3/8/18,1754,3/8/18 17:54,N WASHINGTON AV,LAUREL ST,2018002312
3/8/18,2015,3/8/18 20:15,TARRYTOWN RD,,2018002314
3/14/18,1550,3/14/18 15:50,WOODHAMPTON DR,,2018002510
3/17/18,2130,3/17/18 21:30,189 SEARS AV,,2018002633
3/20/18,941,3/20/18 9:41,50 TAXTER RD,,2018002729
3/20/18,1343,3/20/18 13:43,ARDSLEY RD,FORT HILL RD,2018002741
3/21/18,1338,3/21/18 13:38,RIDGE RD,,2018002770
3/21/18,1300,3/21/18 13:00,S SPRAIN RD,,2018002772
3/21/18,2051,3/21/18 20:51,BENEDICT AV,,2018002783
3/22/18,1850,3/22/18 18:50,COLUMBIA AV,E HARTSDALE AV,2018002820
3/23/18,1625,3/23/18 16:25,FULTON ST,,2018002862
3/25/18,1120,3/25/18 11:20,S CENTRAL AV,,2018002903
3/26/18,2318,3/26/18 23:18,DOBBS FERRY RD,,2018002917
3/26/18,2030,3/26/18 20:30,HILLSIDE AV,MCLEAN AV,2018002940
3/29/18,1530,3/29/18 15:30,W HARTSDALE AV,,2018003040
4/2/18,910,4/2/18 9:10,S CENTRAL AV,,2018003148
4/4/18,1957,4/4/18 19:57,HILLSIDE AV,,2018003235
4/6/18,1445,4/6/18 14:45,HILLSIDE AV,,2018003276
4/7/18,1648,4/7/18 16:48,W HARTSDALE AV,PINEWOOD RD,2018003313
4/9/18,655,4/9/18 6:55,SAW MILL RIVER RD,BEAVER HILL RD,2018003357
4/12/18,1408,4/12/18 14:08,PRIVATE PROPERTY,,2018003474
4/15/18,342,4/15/18 3:42,SAW MILL RIVER RD,BABBITT CT,2018003560
4/19/18,1903,4/19/18 19:03,WAREHOUSE LN,,2018003748
4/21/18,1310,4/21/18 13:10,CLUBWAY,,2018003804
4/21/18,1610,4/21/18 16:10,CHATTERTON PKWY,N CENTRAL AV,2018003807
4/26/18,1439,4/26/18 14:39,332 W HARTSDALE AV,,2018003982
4/28/18,2125,4/28/18 21:25,DOBBS FERRY RD,,2018004059
5/3/18,720,5/3/18 7:20,W HARTSDALE AV,S CENTRAL AV,2018004198
5/3/18,830,5/3/18 8:30,OLD ARMY RD,,2018004201
